"","Countries","Population","Cumulative Cases","New Cases (Last 24hrs)","Cumulative Deaths","New Deaths (Last 24Hrs)","Critical Cases","Test Conducted (1M people)","Cumulative Tests"
"","Afghanistan","40,754,388","205,039","+17","7,831","+1","1,124","5,031","1,149,420"
"","Albania","2,866,374","333,233","+18","3,593","0","0","116,256","1,941,032"
"","Algeria","45,350,148","270,996","+15","6,881","0","0","5,976","230,861"
"","Andorra","77,463","46,824","+160","156","+1","14","604,469","249,838"
"","Angola","35,027,343","103,131","0","1,917","0","0","2,944","1,499,795"
"","Anguilla","15,230","3,904","+38","12","0","4","256,336","51,382"
"","Antigua-and-Barbuda","99,509","9,106","0","146","0","1","91,509","18,901"
"","Argentina","46,010,234","9,721,718","0","130,011","0","236","211,295","35,716,069"
"","Armenia","2,971,966","445,513","+116","8,709","0","0","149,905","3,231,885"
"","Aruba","107,609","43,494","+115","235","+2","2","404,186","177,885"
"","Australia","26,068,792","10,555,312","+2,634","15,980","+13","64","404,902","78,835,048"
"","Austria","9,066,710","5,510,919","+4,110","21,134","0","47","607,819","202,022,479"
"","Azerbaijan","10,300,205","823,889","+40","9,969","+1","0","79,988","7,353,252"
"","Bahamas","400,516","37,453","+17","833","0","1","93,512","257,839"
"","Bahrain","1,783,983","694,602","+138","1,532","0","4","389,355","10,542,406"
"","Bangladesh","167,885,689","2,036,343","+18","29,430","0","1,331","12,129","15,059,588"
"","Barbados","288,023","103,545","+531","564","+4","0","359,503","773,895"
"","Belarus","9,432,800","994,037","0","7,118","0","0","105,381","13,646,641"
"","Belgium","11,668,278","4,627,186","0","33,021","0","57","396,561","36,044,419"
"","Belize","412,190","68,988","+16","687","0","6","167,369","576,016"
"","Benin","12,784,726","27,922","+10","163","0","5","2,184","604,310"
"","Bermuda","61,939","18,463","+35","151","+2","0","298,084","1,018,578"
"","Bhutan","787,941","62,460","+30","21","0","0","79,270","2,303,734"
"","Bolivia","11,992,656","1,110,064","+50","22,244","0","220","92,562","2,705,422"
"","Bosnia-and-Herzegovina","3,249,317","400,336","+14","16,190","0","0","123,206","1,878,391"
"","Botswana","2,441,162","326,344","0","2,790","0","1","133,684","2,026,898"
